,Epochs,Current_State,Pit_Position,Goal_Position,Wall_Position,Action,Reward,Next_State,Epsilon_Boolean,Q_Max,Q1_Current,Q2_Current,Q3_Current,Q4_Current,Q1_Next,Q2_Next,Q3_Next,Q4_Next,Q_Next_Max,Y
24517,2809,2,10,15,6,3,-1,3,0,3.614616632461548,0.8137539625167847,3.5571813583374023,1.805864214897156,3.614616632461548,3.271479606628418,5.547339916229248,3.607856273651123,4.26346492767334,5.547339916229248,3.9926059246063232
24518,2809,3,10,15,6,1,-1,7,0,5.569685935974121,3.2593770027160645,5.569685935974121,3.609753370285034,4.198594570159912,0.2594278156757355,7.159511566162109,3.1155965328216557,5.585024833679199,7.159511566162109,5.443560409545898
24519,2809,7,10,15,6,1,-1,11,0,7.216958999633789,0.2777135968208313,7.216958999633789,3.1389377117156982,5.558315753936768,3.2953200340271,9.180524826049805,3.692841053009033,6.661027431488037,9.180524826049805,7.262472343444825
24520,2809,11,10,15,6,1,10,15,0,9.211642265319824,3.2691335678100586,9.211642265319824,3.7149908542633057,6.653964996337891,2.3450872898101807,6.48790454864502,6.786680221557617,7.956626415252685,7.956626415252685,10.0
24521,2810,12,11,6,13,0,-1,8,0,5.444119930267334,5.444119930267334,2.774608612060547,3.9633092880249023,3.8040714263916016,6.479636669158936,3.670560598373413,4.639004230499268,6.256241321563721,6.479636669158936,4.8316730022430425
24522,2810,8,11,6,13,0,-1,4,0,6.453888893127441,6.453888893127441,3.664635181427002,4.644001007080078,6.2987589836120605,6.7307844161987305,5.036015510559082,5.7188897132873535,7.154176235198975,7.154176235198975,5.438758611679077
24526,2811,3,7,13,5,2,-1,2,0,4.691226005554199,-1.3810161352157593,-2.077445268630981,4.691226005554199,1.9273077249526975,1.6838594675064087,5.34404182434082,4.131551265716553,2.711549758911133,5.34404182434082,3.809637641906739
24527,2811,2,7,13,5,1,-1,6,0,5.361573219299316,1.8279354572296145,5.361573219299316,4.171287059783936,2.755589246749878,2.3109350204467773,7.200085639953613,2.726398229598999,-3.744055986404419,7.200085639953613,5.480077075958252
24528,2811,6,7,13,5,1,-1,10,0,7.206104278564453,2.431100606918335,7.206104278564453,2.7162084579467773,-3.727302074432373,1.0747895240783691,7.699783325195312,8.097697257995605,6.427489280700684,8.097697257995605,6.287927532196045
24531,2812,11,8,14,9,1,-1,15,0,5.874969959259033,2.213300943374634,5.874969959259033,5.399155616760254,3.817333936691284,3.8952789306640634,7.477804660797119,9.422316551208496,5.293369293212891,9.422316551208496,7.4800848960876465
24532,2812,15,8,14,9,2,10,14,0,9.430705070495604,3.877925157546997,7.501709461212158,9.430705070495604,5.226316928863525,3.8300490379333496,6.739694118499756,7.015920162200928,8.226902961730957,8.226902961730957,10.0
24534,2813,14,2,11,10,3,-1,15,0,7.928796768188477,5.682957172393799,5.629803657531738,7.286753177642822,7.928796768188477,10.402655601501465,7.614551067352295,6.562695503234863,8.536389350891113,10.402655601501465,8.362390041351318
24538,2815,4,2,12,5,1,-1,8,0,8.048310279846191,4.27655029296875,8.048310279846191,4.990306854248047,2.919743299484253,7.468957424163818,9.923285484313965,8.180184364318848,6.733334064483643,9.923285484313965,7.930956935882568
24544,2816,5,13,15,6,1,-1,9,0,2.6731958389282227,1.9191325902938845,2.6731958389282227,-0.0632666945457458,2.301459312438965,1.7071446180343628,-0.2913058698177337,2.4905238151550293,5.390287399291992,5.390287399291992,3.851258659362793
24545,2816,9,13,15,6,3,-1,10,0,5.364501953125,1.7093298435211182,-0.2773319780826568,2.4983644485473637,5.364501953125,2.539250612258911,6.811114311218262,3.939864158630371,8.468422889709473,8.468422889709473,6.621580600738525
24548,2817,9,8,7,6,0,-1,5,0,5.197947502136231,5.197947502136231,4.448834419250488,-1.1506413221359253,3.962595224380493,5.236411094665527,5.891705513000488,4.451011657714844,6.747264385223389,6.747264385223389,5.07253794670105
24566,2818,4,11,13,2,1,-1,8,0,6.319336891174316,3.731998443603516,6.319336891174316,4.359957218170166,5.657536506652832,3.037975788116455,7.301480770111084,6.517969131469727,7.999858856201172,7.999858856201172,6.199872970581055
24567,2818,8,11,13,2,3,-1,9,0,7.998300075531006,3.054787397384644,7.3578290939331055,6.501226425170898,7.998300075531006,6.630631923675537,9.778883934020996,7.844017028808594,6.078601837158203,9.778883934020996,7.8009955406188976
24568,2818,9,11,13,2,1,10,13,0,9.828523635864258,6.6604323387146,9.828523635864258,7.821700572967529,6.080975532531738,6.007281303405762,6.836264610290527,5.503601551055908,7.447973251342773,7.447973251342773,10.0
24569,2819,5,0,12,3,1,-1,9,0,8.027026176452637,5.661473751068115,8.027026176452637,6.596303462982178,4.44529390335083,6.668823719024658,8.475531578063965,9.361385345458984,6.11751127243042,9.361385345458984,7.425246810913086
24570,2819,9,0,12,3,2,-1,8,0,9.353523254394531,6.688449859619141,8.532402992248535,9.353523254394531,6.109191417694092,5.226459503173828,10.046634674072266,8.696965217590332,6.184963226318359,10.046634674072266,8.041971206665039
24571,2819,8,0,12,3,1,10,12,0,10.091753959655762,5.238508224487305,10.091753959655762,8.706782341003418,6.176098823547363,7.76527214050293,7.122200965881348,8.331080436706543,6.493351936340332,8.331080436706543,10.0
24575,2820,13,10,4,7,1,-1,13,0,6.258458137512207,6.210463523864746,6.258458137512207,5.871350765228272,0.9252572059631348,6.2578840255737305,6.250904560089111,5.821776866912842,0.8573025465011597,6.2578840255737305,4.632095623016357
24579,2820,9,10,4,7,2,-1,8,0,8.066835403442383,7.546974658966064,5.020139694213867,8.066835403442383,1.313123345375061,9.062932014465332,7.508416175842285,7.620510578155518,4.165980339050293,9.062932014465332,7.1566388130188
24580,2820,8,10,4,7,0,10,4,0,9.018838882446287,9.018838882446287,7.340017795562744,7.516911506652832,4.128463268280029,8.907668113708496,10.12681770324707,8.440499305725098,5.283573627471924,10.12681770324707,10.0
24581,2821,8,4,2,15,3,-1,9,0,5.195108413696289,0.6326392889022827,2.4476888179779053,2.591881275177002,5.195108413696289,7.926804542541504,3.394272565841675,1.5328855514526367,6.080277442932129,7.926804542541504,6.134124088287353
24582,2821,9,4,2,15,0,-1,5,0,7.921567916870117,7.921567916870117,3.411418437957764,1.472005844116211,6.0760178565979,9.14510726928711,5.420910358428955,1.9221389293670652,8.844703674316406,9.14510726928711,7.230596542358398
24584,2822,6,5,8,14,1,-1,10,0,5.577015399932861,4.1885833740234375,5.577015399932861,3.5979933738708496,0.6956786513328552,3.068286895751953,3.1479525566101074,7.627716064453125,3.235846996307373,7.627716064453125,5.8649444580078125
24585,2822,10,5,8,14,2,-1,9,0,7.6088643074035645,3.045799732208252,3.1685118675231934,7.6088643074035645,3.219298839569092,-0.21742944419384,4.042447090148926,9.490317344665527,4.950561046600342,9.490317344665527,7.541285610198974
24587,2823,4,3,5,8,3,10,5,0,8.014866828918457,5.515712261199951,3.573142766952514,4.715345859527588,8.014866828918457,5.521965980529785,6.678607940673828,3.8604328632354736,6.983499050140381,6.983499050140381,10.0
24601,2825,0,11,7,3,3,-1,1,0,5.030850410461426,3.707991600036621,3.739733219146729,3.521148443222046,5.030850410461426,3.895474910736084,3.968370914459229,3.9876086711883545,4.669607639312744,4.669607639312744,3.20264687538147
24605,2826,12,15,10,0,3,-1,13,0,7.077698707580566,6.827713489532471,5.002454280853272,4.200192451477051,7.077698707580566,8.86220932006836,5.639349937438965,4.917908191680908,7.944645881652832,8.86220932006836,6.975988388061523
24606,2826,13,15,10,0,0,-1,9,0,8.920339584350586,8.920339584350586,5.6745710372924805,4.974992752075195,7.952247619628906,6.952558517456055,7.291306972503662,5.807309150695801,9.40771770477295,9.40771770477295,7.466945934295655
24607,2826,9,15,10,0,3,10,10,0,9.433849334716797,7.038695812225342,7.356423854827881,5.863912105560303,9.433849334716797,9.26403522491455,6.448740482330322,6.766734600067139,6.71840763092041,9.26403522491455,10.0
24608,2827,7,11,8,1,2,-1,6,0,5.004789352416992,0.038415789604187,-1.8484119176864624,5.004789352416992,0.8796764612197876,3.3282103538513184,5.8880791664123535,7.706865310668945,3.1345770359039307,7.706865310668945,5.936178779602051
24609,2827,6,11,8,1,2,-1,5,0,7.724134922027588,3.3735992908477783,5.93694543838501,7.724134922027588,3.1619985103607178,1.2443339824676514,7.918684005737305,8.487984657287598,5.0736260414123535,8.487984657287598,6.639186191558838
24610,2827,5,11,8,1,2,-1,4,0,8.494623184204102,1.2832210063934326,7.962469100952148,8.494623184204102,5.116169452667236,4.8002777099609375,10.762057304382324,8.776918411254883,4.895845890045166,10.762057304382324,8.685851573944092
24611,2827,4,11,8,1,1,10,8,0,10.757146835327148,4.825517177581787,10.757146835327148,8.755606651306152,4.963675498962402,8.15243911743164,8.560168266296387,9.31928539276123,8.508795738220215,9.31928539276123,10.0
24613,2828,2,0,9,5,1,-1,6,0,6.72157096862793,4.980883598327637,6.72157096862793,5.618040561676025,3.714350938796997,7.328121185302734,7.60172700881958,6.020637035369873,3.8589775562286377,7.60172700881958,5.841554307937622
24614,2828,6,0,9,5,1,-1,10,0,7.581594467163086,7.323586463928223,7.581594467163086,6.010844707489014,3.888099670410156,7.243323802947998,5.4882659912109375,10.83646297454834,4.397290229797363,10.83646297454834,8.752816677093506
